"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"329";"PV28  ";"A047047";"2024JJ00";"       ."
"330";"PV28  ";"A047048";"2019JJ00";"     198"
"331";"PV28  ";"A047048";"2020JJ00";"     221"
"332";"PV28  ";"A047048";"2021JJ00";"     240"
"333";"PV28  ";"A047048";"2022JJ00";"     263"
"334";"PV28  ";"A047048";"2023JJ00";"     302"
"335";"PV28  ";"A047048";"2024JJ00";"       ."
"336";"PV29  ";"T001132";"2019JJ00";"     205"
"337";"PV29  ";"T001132";"2020JJ00";"     215"
"338";"PV29  ";"T001132";"2021JJ00";"     228"
"339";"PV29  ";"T001132";"2022JJ00";"     248"
"340";"PV29  ";"T001132";"2023JJ00";"     282"
"341";"PV29  ";"T001132";"2024JJ00";"     304"
"342";"PV29  ";"1014800";"2019JJ00";"     237"
"343";"PV29  ";"1014800";"2020JJ00";"     249"
"344";"PV29  ";"1014800";"2021JJ00";"     264"
"345";"PV29  ";"1014800";"2022JJ00";"     287"
"346";"PV29  ";"1014800";"2023JJ00";"     326"
"347";"PV29  ";"1014800";"2024JJ00";"       ."
"348";"PV29  ";"A047047";"2019JJ00";"     123"
"349";"PV29  ";"A047047";"2020JJ00";"     128"
"350";"PV29  ";"A047047";"2021JJ00";"     137"
"351";"PV29  ";"A047047";"2022JJ00";"     149"
"352";"PV29  ";"A047047";"2023JJ00";"     169"
"353";"PV29  ";"A047047";"2024JJ00";"       ."
"354";"PV29  ";"A047048";"2019JJ00";"     173"
"355";"PV29  ";"A047048";"2020JJ00";"     180"
"356";"PV29  ";"A047048";"2021JJ00";"     189"
"357";"PV29  ";"A047048";"2022JJ00";"     205"
"358";"PV29  ";"A047048";"2023JJ00";"     227"
"359";"PV29  ";"A047048";"2024JJ00";"       ."
"360";"PV30  ";"T001132";"2019JJ00";"     260"
"361";"PV30  ";"T001132";"2020JJ00";"     278"
"362";"PV30  ";"T001132";"2021JJ00";"     295"
"363";"PV30  ";"T001132";"2022JJ00";"     323"
"364";"PV30  ";"T001132";"2023JJ00";"     370"
"365";"PV30  ";"T001132";"2024JJ00";"     385"
"366";"PV30  ";"1014800";"2019JJ00";"     309"
"367";"PV30  ";"1014800";"2020JJ00";"     330"
"368";"PV30  ";"1014800";"2021JJ00";"     351"
"369";"PV30  ";"1014800";"2022JJ00";"     385"
"370";"PV30  ";"1014800";"2023JJ00";"     441"
"371";"PV30  ";"1014800";"2024JJ00";"       ."
"372";"PV30  ";"A047047";"2019JJ00";"     165"
"373";"PV30  ";"A047047";"2020JJ00";"     177"
"374";"PV30  ";"A047047";"2021JJ00";"     189"
"375";"PV30  ";"A047047";"2022JJ00";"     208"
"376";"PV30  ";"A047047";"2023JJ00";"     240"
"377";"PV30  ";"A047047";"2024JJ00";"       ."
"378";"PV30  ";"A047048";"2019JJ00";"     221"
"379";"PV30  ";"A047048";"2020JJ00";"     234"
"380";"PV30  ";"A047048";"2021JJ00";"     247"
"381";"PV30  ";"A047048";"2022JJ00";"     266"
"382";"PV30  ";"A047048";"2023JJ00";"     303"
"383";"PV30  ";"A047048";"2024JJ00";"       ."
"384";"PV31  ";"T001132";"2019JJ00";"     203"
"385";"PV31  ";"T001132";"2020JJ00";"     218"
"386";"PV31  ";"T001132";"2021JJ00";"     231"
"387";"PV31  ";"T001132";"2022JJ00";"     246"
"388";"PV31  ";"T001132";"2023JJ00";"     288"
"389";"PV31  ";"T001132";"2024JJ00";"     290"
"390";"PV31  ";"1014800";"2019JJ00";"     243"
"391";"PV31  ";"1014800";"2020JJ00";"     261"
"392";"PV31  ";"1014800";"2021JJ00";"     278"
"393";"PV31  ";"1014800";"2022JJ00";"     295"
"394";"PV31  ";"1014800";"2023JJ00";"     346"
"395";"PV31  ";"1014800";"2024JJ00";"       ."
"396";"PV31  ";"A047047";"2019JJ00";"     123"
"397";"PV31  ";"A047047";"2020JJ00";"     132"
"398";"PV31  ";"A047047";"2021JJ00";"     139"
